	Family	Source	orthogroup	species
LOC107407113	MYB_related	TFDB	None	zizju
LOC107407122	MYB_related	TFDB	None	zizju
LOC107407213	MYB_related	TFDB	None	zizju
LOC107407749	MYB_related	TFDB	None	zizju
LOC107407765	MYB_related	TFDB	None	zizju
LOC107407769	MYB_related	TFDB	None	zizju
LOC107409627	MYB_related	TFDB	None	zizju
LOC107409815	MYB_related	TFDB	None	zizju
LOC107411023	MYB_related	TFDB	None	zizju
LOC107411450	MYB_related	TFDB	None	zizju
LOC107411454	MYB_related	TFDB	None	zizju
LOC107411598	MYB_related	TFDB	None	zizju
LOC107411922	MYB_related	TFDB	None	zizju
LOC107412672	MYB_related	TFDB	None	zizju
LOC107413431	MYB_related	TFDB	None	zizju
LOC107414100	MYB_related	TFDB	None	zizju
LOC107414613	MYB_related	TFDB	None	zizju
LOC107414737	MYB_related	TFDB	None	zizju
LOC107416181	MYB_related	TFDB	None	zizju
LOC107416790	MYB_related	TFDB	None	zizju
LOC107417866	MYB_related	TFDB	None	zizju
LOC107419634	MYB_related	TFDB	None	zizju
LOC107420077	MYB_related	TFDB	None	zizju
LOC107420190	MYB_related	TFDB	None	zizju
LOC107420249	MYB_related	TFDB	None	zizju
LOC107420262	MYB_related	TFDB	None	zizju
LOC107420595	MYB_related	TFDB	None	zizju
LOC107421267	MYB_related	TFDB	None	zizju
LOC107421838	MYB_related	TFDB	None	zizju
LOC107423055	MYB_related	TFDB	None	zizju
LOC107423643	MYB_related	TFDB	None	zizju
LOC107423826	MYB_related	TFDB	None	zizju
LOC107424012	MYB_related	TFDB	None	zizju
LOC107424083	MYB_related	TFDB	None	zizju
LOC107424302	MYB_related	TFDB	None	zizju
LOC107424587	MYB_related	TFDB	None	zizju
LOC107424918	MYB_related	TFDB	None	zizju
LOC107424928	MYB_related	TFDB	None	zizju
LOC107425232	MYB_related	TFDB	None	zizju
LOC107426769	MYB_related	TFDB	None	zizju
LOC107426908	MYB_related	TFDB	None	zizju
LOC107426939	MYB_related	TFDB	None	zizju
LOC107429872	MYB_related	TFDB	None	zizju
LOC107429884	MYB_related	TFDB	None	zizju
LOC107429990	MYB_related	TFDB	None	zizju
LOC107430316	MYB_related	TFDB	None	zizju
LOC107432393	MYB_related	TFDB	None	zizju
LOC107432912	MYB_related	TFDB	None	zizju
LOC107432960	MYB_related	TFDB	None	zizju
LOC107433899	MYB_related	TFDB	None	zizju
LOC107435329	MYB_related	TFDB	None	zizju
LOC107435334	MYB_related	TFDB	None	zizju
LOC107435425	MYB_related	TFDB	None	zizju
LOC107435620	MYB_related	TFDB	None	zizju
Cucsa.283870	RAV	TFDB	1899	cucsa
Cucsa.147340	RAV	TFDB	1899	cucsa
Cucsa.142990	RAV	TFDB	3899	cucsa
Cucsa.350980	RAV	TFDB	3899	cucsa
Cucsa.000200	WRKY	TFDB	710	cucsa
Cucsa.002880	GRAS	TFDB	8876	cucsa
Cucsa.002980	NAC	TFDB	2437	cucsa
Cucsa.005120	bZIP	TFDB	4789	cucsa
Cucsa.005360	bHLH	TFDB	888	cucsa
Cucsa.005490	bHLH	TFDB	35302	cucsa
Cucsa.005520	Whirly	TFDB	4374	cucsa
Cucsa.006260	GRAS	TFDB	3893	cucsa
Cucsa.006340	bHLH	TFDB	3932	cucsa
Cucsa.010660	bHLH	TFDB	4313	cucsa
Cucsa.010690	Dof	TFDB	340	cucsa
Cucsa.011210	NAC	TFDB	5862	cucsa
Cucsa.011300	LBD	TFDB	3324	cucsa
Cucsa.011620	ZF-HD	TFDB	5143	cucsa
Cucsa.011680	LBD	TFDB	35336	cucsa
Cucsa.012930	bHLH	TFDB	5997	cucsa
Cucsa.012940	WRKY	TFDB	1220	cucsa
Cucsa.014000	TCP	TFDB	4997	cucsa
Cucsa.016480	HSF	TFDB	686	cucsa
Cucsa.019230	FAR1	TFDB	2425	cucsa
Cucsa.021440	HSF	TFDB	10584	cucsa
Cucsa.025370	NF-YB	TFDB	381	cucsa
Cucsa.026590	BBR-BPC	TFDB	3047	cucsa
Cucsa.026600	BBR-BPC	TFDB	3047	cucsa
Cucsa.029580	EIL	TFDB	5994	cucsa
Cucsa.031210	GRAS	TFDB	35461	cucsa
Cucsa.031290	bHLH	TFDB	16111	cucsa
Cucsa.031350	LBD	TFDB	3863	cucsa
Cucsa.031600	TCP	TFDB	2697	cucsa
Cucsa.032230	Nin-like	TFDB	7400	cucsa
Cucsa.032330	Dof	TFDB	35480	cucsa
Cucsa.032500	NAC	TFDB	5029	cucsa
Cucsa.032880	bZIP	TFDB	5654	cucsa
Cucsa.038810	GATA	TFDB	13182	cucsa
Cucsa.040380	NAC	TFDB	10338	cucsa
Cucsa.041490	GRAS	TFDB	13757	cucsa
Cucsa.041620	GRAS	TFDB	10308	cucsa
Cucsa.041700	WRKY	TFDB	6686	cucsa
Cucsa.042000	NF-YB	TFDB	777	cucsa
Cucsa.042150	NF-YB	TFDB	12288	cucsa
Cucsa.042160	NF-YB	TFDB	12288	cucsa
Cucsa.042170	NF-YB	TFDB	12288	cucsa
Cucsa.042310	GRAS	TFDB	1747	cucsa
Cucsa.042320	WRKY	TFDB	1875	cucsa
Cucsa.042390	NAC	TFDB	35545	cucsa
Cucsa.043160	bHLH	TFDB	11327	cucsa
Cucsa.043170	bZIP	TFDB	35547	cucsa
Cucsa.043300	SRS	TFDB	1366	cucsa
Cucsa.043350	GATA	TFDB	21051	cucsa
Cucsa.043420	NAC	TFDB	3593	cucsa
Cucsa.043580	bHLH	TFDB	5050	cucsa
Cucsa.044270	Nin-like	TFDB	12008	cucsa
Cucsa.044640	FAR1	TFDB	2494	cucsa
Cucsa.044690	GRAS	TFDB	3765	cucsa
Cucsa.045040	WRKY	TFDB	3732	cucsa
Cucsa.045610	GeBP	TFDB	606	cucsa
Cucsa.045680	bHLH	TFDB	3809	cucsa
Cucsa.046040	Dof	TFDB	7599	cucsa
Cucsa.046290	Dof	TFDB	6149	cucsa
Cucsa.046300	Dof	TFDB	3929	cucsa
Cucsa.046310	SBP	TFDB	4367	cucsa
Cucsa.046530	NAC	TFDB	35581	cucsa
Cucsa.046600	VOZ	TFDB	8388	cucsa
Cucsa.046960	Dof	TFDB	4252	cucsa
Cucsa.047180	HSF	TFDB	4501	cucsa
Cucsa.047510	WRKY	TFDB	4505	cucsa
Cucsa.047860	TCP	TFDB	3684	cucsa
Cucsa.048040	LBD	TFDB	35591	cucsa
Cucsa.048230	NF-YA	TFDB	3571	cucsa
Cucsa.048520	WRKY	TFDB	35598	cucsa
Cucsa.048930	FAR1	TFDB	20	cucsa
Cucsa.049620	WRKY	TFDB	13959	cucsa
Cucsa.050160	bHLH	TFDB	9370	cucsa
Cucsa.050500	Trihelix	TFDB	16114	cucsa
Cucsa.051690	NF-YC	TFDB	13800	cucsa
Cucsa.052650	Dof	TFDB	5280	cucsa
Cucsa.052720	LBD	TFDB	949	cucsa
Cucsa.053270	GRAS	TFDB	7603	cucsa
Cucsa.053440	LBD	TFDB	4308	cucsa
Cucsa.053450	LBD	TFDB	2568	cucsa
Cucsa.053540	bHLH	TFDB	8226	cucsa
Cucsa.053890	NAC	TFDB	14323	cucsa
Cucsa.054000	TCP	TFDB	2816	cucsa
Cucsa.054040	WRKY	TFDB	2502	cucsa
Cucsa.054050	SBP	TFDB	17574	cucsa
Cucsa.055340	GRAS	TFDB	2433	cucsa
Cucsa.056080	Nin-like	TFDB	2485	cucsa
Cucsa.056150	WRKY	TFDB	35641	cucsa
Cucsa.056240	NF-YC	TFDB	12904	cucsa
Cucsa.058070	STAT	TFDB	7029	cucsa
Cucsa.058440	FAR1	TFDB	20	cucsa
Cucsa.058710	bHLH	TFDB	4238	cucsa
Cucsa.058780	NAC	TFDB	850	cucsa
Cucsa.059580	bHLH	TFDB	4813	cucsa
Cucsa.060600	NAC	TFDB	7060	cucsa
Cucsa.061590	bHLH	TFDB	11980	cucsa
Cucsa.062320	LBD	TFDB	35690	cucsa
Cucsa.062530	bZIP	TFDB	3506	cucsa
Cucsa.065480	Trihelix	TFDB	7606	cucsa
Cucsa.066100	Dof	TFDB	340	cucsa
Cucsa.066300	WRKY	TFDB	11218	cucsa
Cucsa.066850	CAMTA	TFDB	16728	cucsa
Cucsa.067270	Trihelix	TFDB	3652	cucsa
Cucsa.069460	GATA	TFDB	5818	cucsa
Cucsa.072940	bHLH	TFDB	35745	cucsa
Cucsa.073190	WRKY	TFDB	1342	cucsa
Cucsa.074600	NAC	TFDB	5737	cucsa
Cucsa.074610	NAC	TFDB	2679	cucsa
Cucsa.075970	bZIP	TFDB	5654	cucsa
Cucsa.076020	TCP	TFDB	2430	cucsa
Cucsa.076390	NF-YC	TFDB	1401	cucsa
Cucsa.077010	Dof	TFDB	4691	cucsa
Cucsa.077390	NAC	TFDB	8703	cucsa
Cucsa.077940	NAC	TFDB	35778	cucsa
Cucsa.078220	Trihelix	TFDB	14004	cucsa
Cucsa.078700	bHLH	TFDB	2980	cucsa
Cucsa.078810	WRKY	TFDB	3446	cucsa
Cucsa.079030	bZIP	TFDB	7044	cucsa
Cucsa.079150	GRAS	TFDB	2772	cucsa
Cucsa.081320	NAC	TFDB	9383	cucsa
Cucsa.082270	GRAS	TFDB	14335	cucsa
Cucsa.083530	NAC	TFDB	4142	cucsa
Cucsa.083540	NAC	TFDB	4142	cucsa
Cucsa.083720	E2F/DP	TFDB	844	cucsa
Cucsa.084230	HSF	TFDB	686	cucsa
Cucsa.086300	bHLH	TFDB	16124	cucsa
Cucsa.086660	YABBY	TFDB	3821	cucsa
Cucsa.086680	NF-YC	TFDB	1401	cucsa
Cucsa.087040	SRS	TFDB	7479	cucsa
Cucsa.087480	NAC	TFDB	663	cucsa
Cucsa.087850	WRKY	TFDB	20987	cucsa
Cucsa.087900	GRAS	TFDB	11341	cucsa
Cucsa.088250	bZIP	TFDB	1097	cucsa
Cucsa.088960	bHLH	TFDB	1632	cucsa
Cucsa.090320	bHLH	TFDB	2413	cucsa
Cucsa.091670	bHLH	TFDB	9386	cucsa
Cucsa.093390	WRKY	TFDB	3745	cucsa
Cucsa.094340	bHLH	TFDB	6423	cucsa
Cucsa.094440	FAR1	TFDB	7243	cucsa
Cucsa.094760	FAR1	TFDB	11342	cucsa
Cucsa.095090	WRKY	TFDB	35931	cucsa
Cucsa.095210	NAC	TFDB	5983	cucsa
Cucsa.095280	bHLH	TFDB	2316	cucsa
Cucsa.095510	Nin-like	TFDB	1811	cucsa
Cucsa.096040	FAR1	TFDB	17588	cucsa
Cucsa.096050	FAR1	TFDB	16029	cucsa
Cucsa.096680	WRKY	TFDB	13201	cucsa
Cucsa.096740	bZIP	TFDB	3312	cucsa
Cucsa.097490	bHLH	TFDB	2090	cucsa
Cucsa.097840	bHLH	TFDB	1669	cucsa
Cucsa.097890	WRKY	TFDB	1912	cucsa
Cucsa.098190	E2F/DP	TFDB	1545	cucsa
Cucsa.098430	Dof	TFDB	6069	cucsa
Cucsa.098680	LBD	TFDB	15008	cucsa
Cucsa.099390	NAC	TFDB	7966	cucsa
Cucsa.099970	FAR1	TFDB	20	cucsa
Cucsa.100320	FAR1	TFDB	2494	cucsa
Cucsa.100440	WRKY	TFDB	6467	cucsa
Cucsa.100920	NAC	TFDB	4070	cucsa
Cucsa.101020	bHLH	TFDB	4408	cucsa
Cucsa.101120	GRAS	TFDB	11347	cucsa
Cucsa.101460	WRKY	TFDB	5502	cucsa
Cucsa.101530	WRKY	TFDB	4089	cucsa
Cucsa.102120	Dof	TFDB	9011	cucsa
Cucsa.102190	Dof	TFDB	9391	cucsa
Cucsa.102410	HSF	TFDB	8176	cucsa
Cucsa.102530	bHLH	TFDB	8119	cucsa
Cucsa.102600	WRKY	TFDB	1342	cucsa
Cucsa.103040	GRAS	TFDB	8760	cucsa
Cucsa.103050	LBD	TFDB	3998	cucsa
Cucsa.103160	GRAS	TFDB	6654	cucsa
Cucsa.103380	bZIP	TFDB	3581	cucsa
Cucsa.103610	bHLH	TFDB	339	cucsa
Cucsa.103620	bHLH	TFDB	339	cucsa
Cucsa.103630	bHLH	TFDB	339	cucsa
Cucsa.103760	bHLH	TFDB	1138	cucsa
Cucsa.103860	Dof	TFDB	4915	cucsa
Cucsa.104100	ZF-HD	TFDB	1853	cucsa
Cucsa.104900	BES1	TFDB	10735	cucsa
Cucsa.104970	bZIP	TFDB	2113	cucsa
Cucsa.105540	FAR1	TFDB	16035	cucsa
Cucsa.106390	bZIP	TFDB	438	cucsa
Cucsa.106490	GATA	TFDB	4523	cucsa
Cucsa.106510	ZF-HD	TFDB	5132	cucsa
Cucsa.106870	NF-YC	TFDB	11351	cucsa
Cucsa.106960	WRKY	TFDB	8271	cucsa
Cucsa.106970	WRKY	TFDB	1814	cucsa
Cucsa.107310	WRKY	TFDB	1220	cucsa
Cucsa.107610	HSF	TFDB	5009	cucsa
Cucsa.109180	GATA	TFDB	3727	cucsa
Cucsa.109420	bZIP	TFDB	438	cucsa
Cucsa.111110	bHLH	TFDB	3782	cucsa
Cucsa.111880	TCP	TFDB	3684	cucsa
Cucsa.111910	WRKY	TFDB	710	cucsa
Cucsa.112500	NAC	TFDB	8805	cucsa
Cucsa.112580	bHLH	TFDB	36089	cucsa
Cucsa.112620	TCP	TFDB	1391	cucsa
Cucsa.112770	ZF-HD	TFDB	1918	cucsa
Cucsa.112810	Dof	TFDB	391	cucsa
Cucsa.112890	NAC	TFDB	1981	cucsa
Cucsa.113040	bHLH	TFDB	14171	cucsa
Cucsa.113300	TCP	TFDB	3368	cucsa
Cucsa.113410	SBP	TFDB	7623	cucsa
Cucsa.113470	Dof	TFDB	36097	cucsa
Cucsa.113490	bHLH	TFDB	7543	cucsa
Cucsa.113510	bZIP	TFDB	12897	cucsa
Cucsa.113660	TCP	TFDB	20989	cucsa
Cucsa.114700	Trihelix	TFDB	15013	cucsa
Cucsa.114750	Nin-like	TFDB	3685	cucsa
Cucsa.116340	HSF	TFDB	10584	cucsa
Cucsa.116430	CPP	TFDB	3664	cucsa
Cucsa.116800	NAC	TFDB	3751	cucsa
Cucsa.117060	bHLH	TFDB	7527	cucsa
Cucsa.117100	HSF	TFDB	1011	cucsa
Cucsa.117770	GRAS	TFDB	891	cucsa
Cucsa.118200	WRKY	TFDB	9401	cucsa
Cucsa.118320	NAC	TFDB	17596	cucsa
Cucsa.118330	NAC	TFDB	17596	cucsa
Cucsa.118340	NAC	TFDB	17596	cucsa
Cucsa.118370	LBD	TFDB	13207	cucsa
Cucsa.118620	NAC	TFDB	12305	cucsa
Cucsa.118900	bZIP	TFDB	2309	cucsa
Cucsa.119170	bHLH	TFDB	1763	cucsa
Cucsa.119310	NAC	TFDB	7966	cucsa
Cucsa.120240	NF-YB	TFDB	777	cucsa
Cucsa.120310	SAP	TFDB	12877	cucsa
Cucsa.120390	GRAS	TFDB	1747	cucsa
Cucsa.120600	GRAS	TFDB	1611	cucsa
Cucsa.120620	SBP	TFDB	5764	cucsa
Cucsa.120670	bHLH	TFDB	6560	cucsa
Cucsa.120830	bHLH	TFDB	982	cucsa
Cucsa.120870	NAC	TFDB	2317	cucsa
Cucsa.121490	bHLH	TFDB	17509	cucsa
Cucsa.122080	NF-X1	TFDB	4641	cucsa
Cucsa.122170	ZF-HD	TFDB	6961	cucsa
Cucsa.122730	TCP	TFDB	6890	cucsa
Cucsa.122790	bZIP	TFDB	15557	cucsa
Cucsa.122890	NAC	TFDB	5029	cucsa
Cucsa.124180	NF-YA	TFDB	4091	cucsa
Cucsa.124240	S1Fa-like	TFDB	3036	cucsa
Cucsa.124600	TCP	TFDB	11631	cucsa
Cucsa.125330	NAC	TFDB	12398	cucsa
Cucsa.125970	bHLH	TFDB	36197	cucsa
Cucsa.126450	NAC	TFDB	36201	cucsa
Cucsa.126730	bHLH	TFDB	2367	cucsa
Cucsa.126800	Dof	TFDB	6149	cucsa
Cucsa.126810	Dof	TFDB	3929	cucsa
Cucsa.126820	SBP	TFDB	4367	cucsa
Cucsa.126960	NAC	TFDB	663	cucsa
Cucsa.127020	TCP	TFDB	36208	cucsa
Cucsa.127390	GRAS	TFDB	5853	cucsa
Cucsa.127470	GATA	TFDB	4523	cucsa
Cucsa.127480	ZF-HD	TFDB	5132	cucsa
Cucsa.127910	NF-YA	TFDB	11359	cucsa
Cucsa.130030	bHLH	TFDB	11163	cucsa
Cucsa.132170	YABBY	TFDB	6359	cucsa
Cucsa.132830	bHLH	TFDB	3515	cucsa
Cucsa.133290	bZIP	TFDB	4107	cucsa
Cucsa.133460	GeBP	TFDB	606	cucsa
Cucsa.134500	FAR1	TFDB	20	cucsa
Cucsa.134750	bHLH	TFDB	3846	cucsa
Cucsa.134770	bHLH	TFDB	4083	cucsa
Cucsa.135490	BES1	TFDB	6488	cucsa
Cucsa.135510	bHLH	TFDB	11362	cucsa
Cucsa.136670	NF-X1	TFDB	12974	cucsa
Cucsa.136730	bHLH	TFDB	5253	cucsa
Cucsa.136740	LBD	TFDB	7244	cucsa
Cucsa.137630	GATA	TFDB	4870	cucsa
Cucsa.138470	SRS	TFDB	7479	cucsa
Cucsa.138780	GRAS	TFDB	250	cucsa
Cucsa.139480	LBD	TFDB	36298	cucsa
Cucsa.139730	HSF	TFDB	36303	cucsa
Cucsa.140430	bHLH	TFDB	36306	cucsa
Cucsa.142580	bZIP	TFDB	7634	cucsa
Cucsa.142680	FAR1	TFDB	15970	cucsa
Cucsa.142750	EIL	TFDB	1339	cucsa
Cucsa.143220	EIL	TFDB	12110	cucsa
Cucsa.143260	bHLH	TFDB	2737	cucsa
Cucsa.143360	NF-YA	TFDB	4091	cucsa
Cucsa.143830	WRKY	TFDB	3516	cucsa
Cucsa.143840	WRKY	TFDB	6463	cucsa
Cucsa.143950	bZIP	TFDB	2309	cucsa
Cucsa.144080	LBD	TFDB	6471	cucsa
Cucsa.144430	LBD	TFDB	1174	cucsa
Cucsa.147580	bHLH	TFDB	1763	cucsa
Cucsa.148220	GRAS	TFDB	13229	cucsa
Cucsa.148240	bHLH	TFDB	13973	cucsa
Cucsa.148250	GeBP	TFDB	18793	cucsa
Cucsa.148640	WRKY	TFDB	11367	cucsa
Cucsa.148840	bZIP	TFDB	5167	cucsa
Cucsa.149510	NF-YA	TFDB	36391	cucsa
Cucsa.150740	NAC	TFDB	17606	cucsa
Cucsa.153540	GATA	TFDB	15477	cucsa
Cucsa.155340	bHLH	TFDB	7527	cucsa
Cucsa.156040	bHLH	TFDB	3846	cucsa
Cucsa.156880	LFY	TFDB	14208	cucsa
Cucsa.157010	bHLH	TFDB	4083	cucsa
Cucsa.157080	NAC	TFDB	36447	cucsa
Cucsa.157230	SBP	TFDB	2495	cucsa
Cucsa.157300	NF-YC	TFDB	8781	cucsa
Cucsa.157420	Trihelix	TFDB	4938	cucsa
Cucsa.158040	WRKY	TFDB	14377	cucsa
Cucsa.158180	NAC	TFDB	21097	cucsa
Cucsa.158320	ZF-HD	TFDB	5829	cucsa
Cucsa.158330	ZF-HD	TFDB	1918	cucsa
Cucsa.158390	bHLH	TFDB	3336	cucsa
Cucsa.158540	LBD	TFDB	15562	cucsa
Cucsa.159620	SRS	TFDB	1366	cucsa
Cucsa.159750	BBR-BPC	TFDB	3406	cucsa
Cucsa.159820	E2F/DP	TFDB	16026	cucsa
Cucsa.160250	bHLH	TFDB	3864	cucsa
Cucsa.160390	ZF-HD	TFDB	1853	cucsa
Cucsa.160520	GATA	TFDB	11369	cucsa
Cucsa.160530	GATA	TFDB	5388	cucsa
Cucsa.160650	bHLH	TFDB	13236	cucsa
Cucsa.160860	bHLH	TFDB	1138	cucsa
Cucsa.161160	GATA	TFDB	3417	cucsa
Cucsa.161230	LBD	TFDB	2448	cucsa
Cucsa.161510	NAC	TFDB	4387	cucsa
Cucsa.161540	bZIP	TFDB	7570	cucsa
Cucsa.162360	bZIP	TFDB	5991	cucsa
Cucsa.162810	WRKY	TFDB	36498	cucsa
Cucsa.162820	WRKY	TFDB	7639	cucsa
Cucsa.163550	bHLH	TFDB	36502	cucsa
Cucsa.163680	NAC	TFDB	36503	cucsa
Cucsa.164290	HSF	TFDB	5226	cucsa
Cucsa.165150	LBD	TFDB	12935	cucsa
Cucsa.165340	Dof	TFDB	340	cucsa
Cucsa.165970	NF-YB	TFDB	36526	cucsa
Cucsa.166030	LBD	TFDB	949	cucsa
Cucsa.166140	FAR1	TFDB	7427	cucsa
Cucsa.166230	TCP	TFDB	4997	cucsa
Cucsa.167440	bHLH	TFDB	6400	cucsa
Cucsa.167500	WRKY	TFDB	3556	cucsa
Cucsa.168280	CPP	TFDB	36542	cucsa
Cucsa.168370	WRKY	TFDB	3582	cucsa
Cucsa.169240	bHLH	TFDB	8836	cucsa
Cucsa.171660	NAC	TFDB	36575	cucsa
Cucsa.172400	Dof	TFDB	340	cucsa
Cucsa.173670	NAC	TFDB	6855	cucsa
Cucsa.174120	HSF	TFDB	8403	cucsa
Cucsa.174460	LBD	TFDB	36589	cucsa
Cucsa.174600	bHLH	TFDB	11375	cucsa
Cucsa.174700	bZIP	TFDB	833	cucsa
Cucsa.175050	NAC	TFDB	17606	cucsa
Cucsa.175390	Dof	TFDB	340	cucsa
Cucsa.175500	GRAS	TFDB	1059	cucsa
Cucsa.175670	NAC	TFDB	9383	cucsa
Cucsa.175730	bHLH	TFDB	16787	cucsa
Cucsa.176780	WRKY	TFDB	710	cucsa
Cucsa.177060	WRKY	TFDB	811	cucsa
Cucsa.177230	WRKY	TFDB	3176	cucsa
Cucsa.178140	bHLH	TFDB	982	cucsa
Cucsa.178830	LBD	TFDB	10341	cucsa
Cucsa.180010	GRAS	TFDB	11174	cucsa
Cucsa.180080	FAR1	TFDB	20	cucsa
Cucsa.180090	FAR1	TFDB	20	cucsa
Cucsa.180580	Trihelix	TFDB	11064	cucsa
Cucsa.182020	NF-YB	TFDB	36648	cucsa
Cucsa.182040	NF-YB	TFDB	36649	cucsa
Cucsa.182170	NF-YC	TFDB	1376	cucsa
Cucsa.184420	bHLH	TFDB	6559	cucsa
Cucsa.184670	bZIP	TFDB	13246	cucsa
Cucsa.184810	bHLH	TFDB	16034	cucsa
Cucsa.185740	NF-YB	TFDB	11637	cucsa
Cucsa.185760	NAC	TFDB	36685	cucsa
Cucsa.185800	NAC	TFDB	6274	cucsa
Cucsa.185850	E2F/DP	TFDB	844	cucsa
Cucsa.186150	NAC	TFDB	7156	cucsa
Cucsa.192470	SBP	TFDB	6489	cucsa
Cucsa.193020	GRAS	TFDB	2840	cucsa
Cucsa.193210	Trihelix	TFDB	12461	cucsa
Cucsa.193460	NAC	TFDB	2317	cucsa
Cucsa.194390	GATA	TFDB	10626	cucsa
Cucsa.195730	WRKY	TFDB	13988	cucsa
Cucsa.195790	Trihelix	TFDB	2451	cucsa
Cucsa.196000	SBP	TFDB	2143	cucsa
Cucsa.196250	GRAS	TFDB	9420	cucsa
Cucsa.196600	LBD	TFDB	5015	cucsa
Cucsa.197250	E2F/DP	TFDB	1545	cucsa
Cucsa.197380	bHLH	TFDB	888	cucsa
Cucsa.197550	WRKY	TFDB	1912	cucsa
Cucsa.197610	bHLH	TFDB	1669	cucsa
Cucsa.197630	bHLH	TFDB	10555	cucsa
Cucsa.197650	TCP	TFDB	1391	cucsa
Cucsa.197680	ZF-HD	TFDB	36750	cucsa
Cucsa.197700	Nin-like	TFDB	10228	cucsa
Cucsa.197750	Dof	TFDB	391	cucsa
Cucsa.197830	NAC	TFDB	1981	cucsa
Cucsa.198000	bHLH	TFDB	14171	cucsa
Cucsa.198300	TCP	TFDB	3368	cucsa
Cucsa.198520	bHLH	TFDB	7543	cucsa
Cucsa.198560	Dof	TFDB	9166	cucsa
Cucsa.198630	SBP	TFDB	7623	cucsa
Cucsa.198760	NF-YB	TFDB	2842	cucsa
Cucsa.198860	TCP	TFDB	11380	cucsa
Cucsa.199060	LBD	TFDB	16162	cucsa
Cucsa.199090	NAC	TFDB	4880	cucsa
Cucsa.199800	bZIP	TFDB	2127	cucsa
Cucsa.200860	bHLH	TFDB	5076	cucsa
Cucsa.201140	SRS	TFDB	1366	cucsa
Cucsa.201200	GATA	TFDB	7303	cucsa
Cucsa.201250	GRAS	TFDB	5441	cucsa
Cucsa.201260	GRAS	TFDB	5441	cucsa
Cucsa.201400	GRAS	TFDB	5853	cucsa
Cucsa.201470	NF-YB	TFDB	14393	cucsa
Cucsa.201510	bZIP	TFDB	4043	cucsa
Cucsa.201710	WRKY	TFDB	4052	cucsa
Cucsa.202290	Dof	TFDB	437	cucsa
Cucsa.203800	Trihelix	TFDB	3652	cucsa
Cucsa.204000	Trihelix	TFDB	6983	cucsa
Cucsa.204920	WRKY	TFDB	3534	cucsa
Cucsa.205010	GRAS	TFDB	634	cucsa
Cucsa.205050	bZIP	TFDB	36808	cucsa
Cucsa.205230	GATA	TFDB	15477	cucsa
Cucsa.206000	HSF	TFDB	8160	cucsa
Cucsa.207390	LBD	TFDB	36827	cucsa
Cucsa.207400	LBD	TFDB	949	cucsa
Cucsa.207460	Dof	TFDB	5280	cucsa
Cucsa.212790	BES1	TFDB	1915	cucsa
Cucsa.212820	HSF	TFDB	4501	cucsa
Cucsa.212870	WRKY	TFDB	4640	cucsa
Cucsa.213110	Trihelix	TFDB	2451	cucsa
Cucsa.213120	Trihelix	TFDB	2451	cucsa
Cucsa.213150	Dof	TFDB	4252	cucsa
Cucsa.213230	bHLH	TFDB	11382	cucsa
Cucsa.213830	Dof	TFDB	340	cucsa
Cucsa.215290	TCP	TFDB	3284	cucsa
Cucsa.217940	CAMTA	TFDB	6054	cucsa
Cucsa.218190	GATA	TFDB	17617	cucsa
Cucsa.218800	bHLH	TFDB	7645	cucsa
Cucsa.219180	bHLH	TFDB	2090	cucsa
Cucsa.219780	bZIP	TFDB	860	cucsa
Cucsa.219850	bHLH	TFDB	6786	cucsa
Cucsa.228100	NAC	TFDB	2225	cucsa
Cucsa.228480	NAC	TFDB	11387	cucsa
Cucsa.228750	BES1	TFDB	12944	cucsa
Cucsa.232110	ZF-HD	TFDB	14832	cucsa
Cucsa.232340	BES1	TFDB	4732	cucsa
Cucsa.232360	NAC	TFDB	1151	cucsa
Cucsa.232530	Dof	TFDB	36951	cucsa
Cucsa.234080	bHLH	TFDB	8607	cucsa
Cucsa.234250	bZIP	TFDB	4262	cucsa
Cucsa.236170	NAC	TFDB	6962	cucsa
Cucsa.236600	LBD	TFDB	6916	cucsa
Cucsa.237770	Whirly	TFDB	12287	cucsa
Cucsa.237820	NAC	TFDB	10088	cucsa
Cucsa.238090	TCP	TFDB	2697	cucsa
Cucsa.238410	bZIP	TFDB	833	cucsa
Cucsa.239590	WRKY	TFDB	9401	cucsa
Cucsa.239650	NAC	TFDB	17596	cucsa
Cucsa.239660	LBD	TFDB	37005	cucsa
Cucsa.240210	NAC	TFDB	12131	cucsa
Cucsa.240650	NAC	TFDB	8370	cucsa
Cucsa.240980	bZIP	TFDB	5776	cucsa
Cucsa.241090	bZIP	TFDB	4324	cucsa
Cucsa.241900	Dof	TFDB	8967	cucsa
Cucsa.241980	NF-YA	TFDB	3322	cucsa
Cucsa.242790	SBP	TFDB	3643	cucsa
Cucsa.242870	bZIP	TFDB	3403	cucsa
Cucsa.242910	bHLH	TFDB	3637	cucsa
Cucsa.242940	bHLH	TFDB	4368	cucsa
Cucsa.242980	FAR1	TFDB	4383	cucsa
Cucsa.243990	NF-YB	TFDB	12288	cucsa
Cucsa.247040	WRKY	TFDB	2484	cucsa
Cucsa.248080	bZIP	TFDB	438	cucsa
Cucsa.249390	NAC	TFDB	9383	cucsa
Cucsa.250070	Trihelix	TFDB	14412	cucsa
Cucsa.250310	WRKY	TFDB	5502	cucsa
Cucsa.250350	WRKY	TFDB	4089	cucsa
Cucsa.250560	LBD	TFDB	37120	cucsa
